date,region,product_category,channel,media_spend,promotion_depth,weather_index,seasonality,competitor_pressure,store_execution_score,inventory_availability,pricing_change,unit_sales,revenue,margin
2022-01-02,West,Tea,Club,32518.48,26.17,40.24,1.0,48.08,71.75,92.53,6.01,35268,78514.68,21776.78
2022-01-02,Southeast,Tea,Grocery,53612.77,12.24,52.84,1.0,57.35,94.25,93.54,2.31,49329,105981.0,37661.08
2022-01-02,Southwest,Still,Convenience,34504.41,7.33,64.27,1.0,88.18,80.08,84.92,-0.33,35890,75120.85,24615.59
2022-01-02,Southwest,Sparkling,Grocery,70039.92,32.19,91.63,1.0,57.81,78.97,90.44,3.62,45738,99528.48,24602.79
2022-01-02,Southeast,Energy,Dollar,17117.27,14.11,68.86,1.0,46.83,88.85,97.08,2.85,54371,117438.38,41400.25
2022-01-02,Midwest,Energy,Convenience,21681.29,24.13,69.97,1.0,64.68,75.14,98.54,10.34,51380,119058.36,32378.9
2022-01-02,Southwest,Still,Club,22161.44,25.34,69.07,1.0,89.32,86.6,86.69,3.75,38401,83663.52,21064.79
2022-01-02,Northeast,Juice,Convenience,28098.51,24.22,45.47,1.0,73.74,58.28,94.46,1.21,34693,73734.67,17898.27
2022-01-02,Midwest,Sparkling,Foodservice,33918.36,14.13,83.9,1.0,31.65,88.59,90.76,5.27,48690,107638.97,39725.56
2022-01-02,Southwest,Sparkling,Dollar,24654.56,20.73,65.04,1.0,83.71,59.24,96.94,6.24,41407,92379.05,22964.99
2022-01-02,Midwest,Still,Foodservice,29426.85,15.51,64.6,1.0,51.87,82.6,87.97,3.38,35266,76559.7,25542.99
2022-01-02,Southeast,Still,Foodservice,29671.07,20.56,86.29,1.0,42.99,89.88,89.91,3.23,44726,96962.86,31866.16
2022-01-02,West,Still,Convenience,30374.47,18.05,61.5,1.0,42.06,85.3,86.35,-2.78,37727,77019.63,25879.64
2022-01-02,Southwest,Still,Club,31695.81,14.75,72.36,1.0,79.68,71.87,100.0,1.81,39633,84732.63,24933.31
2022-01-02,Southwest,Still,Grocery,13466.91,23.69,74.73,1.0,22.72,79.46,98.41,2.87,34553,74643.39,24287.88
2022-01-02,Southeast,Sparkling,Foodservice,45541.27,10.04,90.89,1.0,51.31,89.23,93.28,3.99,65530,143102.67,52443.91
2022-01-02,Northeast,Tea,Grocery,37878.41,36.15,93.93,1.0,6.53,70.64,86.15,2.45,48675,104721.91,28998.7
2022-01-02,West,Tea,Foodservice,17851.82,11.56,60.15,1.0,64.26,79.29,89.53,1.97,33994,72796.41,24324.79
2022-01-02,West,Energy,Grocery,47924.9,27.83,82.31,1.0,55.5,77.94,100.0,-0.09,50697,106363.32,28549.47
2022-01-02,Southeast,Sparkling,Convenience,41384.38,24.96,63.29,1.0,59.94,87.98,97.78,-1.27,63404,131457.48,37818.06
2022-01-02,Midwest,Energy,Foodservice,36226.33,22.81,56.59,1.0,55.01,59.26,100.0,6.03,51007,113572.97,30785.13
2022-01-02,Southeast,Energy,Grocery,23861.52,27.36,33.8,1.0,69.34,85.17,99.2,4.71,43615,95902.99,25245.08
2022-01-02,Midwest,Still,Foodservice,9894.82,14.72,62.3,1.0,67.35,81.11,94.78,5.79,30509,67776.73,21580.11
2022-01-02,West,Still,Club,35897.41,6.17,60.3,1.0,47.16,88.55,92.35,3.56,37721,82031.73,31825.46
2022-01-02,Northeast,Energy,Dollar,32904.02,16.27,52.0,1.0,47.93,79.28,92.89,-2.06,70952,145930.98,48282.44
2022-01-02,Southwest,Tea,Grocery,25268.28,9.76,73.1,1.0,17.45,62.74,92.93,-1.09,32379,67252.99,25285.24
2022-01-02,Southeast,Tea,Dollar,23189.8,33.75,69.55,1.0,41.28,80.09,98.32,3.43,38731,84124.96,21849.43
2022-01-02,West,Energy,Convenience,41477.33,34.42,69.2,1.0,45.24,81.75,84.03,0.4,64179,135320.36,34387.16
2022-01-02,Northeast,Still,Grocery,66851.19,8.13,64.86,1.0,37.53,90.61,90.51,-2.18,40633,83466.4,32722.03
2022-01-02,West,Still,Grocery,80391.11,0.0,73.91,1.0,49.93,76.07,94.24,-4.92,43245,86343.98,34454.21
2022-01-02,Southeast,Sparkling,Foodservice,23038.33,23.23,76.27,1.0,23.41,89.87,93.46,-0.13,56279,118029.96,39926.62
2022-01-02,West,Energy,Convenience,34153.73,16.91,85.73,1.0,57.87,74.14,96.12,4.82,65120,143340.32,44609.52
2022-01-02,Northeast,Still,Grocery,24736.5,19.31,64.64,1.0,75.53,91.96,88.52,-4.09,39226,79007.17,23741.86
2022-01-02,Northeast,Still,Convenience,29101.17,14.28,70.08,1.0,44.58,100.0,96.5,-0.32,51085,106929.75,39207.06
2022-01-02,Northeast,Juice,Convenience,40788.63,20.51,85.31,1.0,56.81,86.37,99.8,-0.4,40702,85134.96,26360.55
2022-01-02,Southeast,Energy,Grocery,26074.21,35.93,65.43,1.0,47.19,61.83,89.67,1.49,56027,119403.7,26618.69
2022-01-02,West,Juice,Foodservice,22089.28,16.47,74.6,1.0,47.07,93.11,88.4,5.41,45833,101459.49,35136.4
